País,Estado,Sitio Estadíos,Estadio,Años,Pre-Post,Salida,COORDENADAS N,Coordenadas W,Altitud,GRUPO,ESPECIE,Fecha
México,Jalisco,Caiman8-10,8-10,9,Post,9,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,8/12/12
México,Jalisco,Caiman8-10,8-10,9,Post,11,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,5/9/13
México,Jalisco,Caiman8-10,8-10,9,Post,11,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,5/9/13
México,Jalisco,Caiman8-10,8-10,9,Post,13,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Craugastor occidentalis,10/11/13
México,Jalisco,Caiman8-10,8-10,9,Post,13,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Gastrophryne usta,10/11/13
México,Jalisco,Caiman8-10,8-10,9,Post,13,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,10/11/13
México,Jalisco,Caiman8-10,8-10,9,Post,13,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Craugastor occidentalis,10/11/13
México,Jalisco,Caiman8-10,8-10,9,Post,13,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Craugastor occidentalis,10/11/13
México,Jalisco,Caiman8-10,8-10,9,Post,13,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Smilisca baudini,10/11/13
México,Jalisco,Caiman8-10,8-10,9,Post,13,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,10/11/13
México,Jalisco,Caiman8-10,8-10,9,Post,13,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Diaglena spatulata,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Diaglena spatulata,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
